,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_srad,koi_teq
0,10797460,K00752.01,Kepler-227 b,CONFIRMED,9.48803557,2.9575,615.8,2.26,5455.0,0.927,793.0
1,10797460,K00752.02,Kepler-227 c,CONFIRMED,54.4183827,4.507,874.8,2.83,5455.0,0.927,443.0
2,10854555,K00755.01,Kepler-664 b,CONFIRMED,2.525591777,1.6545,603.3,2.75,6031.0,1.046,1406.0
3,10872983,K00756.01,Kepler-228 d,CONFIRMED,11.09432054,4.5945,1517.5,3.9,6046.0,0.972,835.0
4,10872983,K00756.02,Kepler-228 c,CONFIRMED,4.13443512,3.1402,686.0,2.77,6046.0,0.972,1160.0
5,10872983,K00756.03,Kepler-228 b,CONFIRMED,2.56658897,2.429,226.5,1.59,6046.0,0.972,1360.0
6,10910878,K00757.01,Kepler-229 c,CONFIRMED,16.06864674,3.5347,4914.3,5.76,5031.0,0.848,600.0
7,11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613377,1.74319,14230.9,13.04,5820.0,0.964,1339.0
8,10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735417,3.88864,6674.7,16.1,6440.0,1.952,2048.0
9,6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498429,3.19843,9145.7,14.59,6225.0,1.451,1521.0
10,10984090,K00112.02,Kepler-466 c,CONFIRMED,3.709214104,2.6302,131.1,1.16,5833.0,1.022,1206.0
11,10526549,K00746.01,Kepler-660 b,CONFIRMED,9.27358173,3.2875,1288.3,2.47,4856.0,0.696,649.0
12,10583066,K00747.01,Kepler-661 b,CONFIRMED,6.02930329,1.5821,1912.7,2.85,4537.0,0.672,678.0
13,10601284,K00749.01,Kepler-226 c,CONFIRMED,5.349553819,3.0278,831.0,2.55,5185.0,0.91,919.0
14,10601284,K00749.02,Kepler-226 b,CONFIRMED,3.94105221,2.5984,363.3,1.7,5185.0,0.91,1018.0
15,10601284,K00749.03,Kepler-226 d,CONFIRMED,8.10904807,3.596,217.4,1.3,5185.0,0.91,800.0
16,10662202,K00750.01,Kepler-662 b,CONFIRMED,21.67699193,3.4555,857.2,2.95,4954.0,0.828,530.0
17,10682541,K00751.01,Kepler-663 b,CONFIRMED,4.99677968,2.1717,934.7,2.78,5339.0,0.847,917.0
18,11460018,K00769.01,Kepler-671 b,CONFIRMED,4.280963604,2.875,750.8,2.3,5644.0,0.831,1012.0
19,11507101,K00773.01,Kepler-672 b,CONFIRMED,38.3775486,5.588,724.2,2.82,5481.0,1.036,529.0
20,10910878,K00757.02,Kepler-229 d,CONFIRMED,41.19725502,4.6297,2213.9,3.86,5031.0,0.848,439.0
21,10910878,K00757.03,Kepler-229 b,CONFIRMED,6.252962249,2.5819,1036.9,2.65,5031.0,0.848,823.0
22,10987985,K00758.01,Kepler-665 b,CONFIRMED,16.01308419,3.2554,1121.9,3.1,5015.0,0.826,593.0
23,11018648,K00759.01,Kepler-230 b,CONFIRMED,32.62876672,4.7971,1804.8,3.36,5586.0,0.798,506.0
24,11018648,K00759.02,Kepler-230 c,CONFIRMED,91.7732862,6.473,652.0,2.12,5586.0,0.798,359.0
25,11138155,K00760.01,Kepler-1976 b,CONFIRMED,4.959319244,2.22739,9802.0,12.21,5712.0,1.082,1103.0
26,11153539,K00762.01,Kepler-666 b,CONFIRMED,4.49876511,3.7362,460.0,2.1,6075.0,0.969,1133.0
27,9579641,K00115.01,Kepler-105 b,CONFIRMED,5.412203927,2.9472,601.6,2.94,5779.0,1.087,1093.0
28,11304958,K00764.01,Kepler-667 b,CONFIRMED,41.43958662,10.5989,2793.1,5.5,5468.0,1.046,516.0
29,11391957,K00765.01,Kepler-668 b,CONFIRMED,8.35389523,2.2514,1041.6,2.52,5592.0,0.787,790.0
30,11403044,K00766.01,Kepler-669 b,CONFIRMED,4.125543472,3.1744,1487.3,4.43,6174.0,1.103,1243.0
31,11414511,K00767.01,Kepler-670 b,CONFIRMED,2.816504904,2.50587,16813.7,12.21,5532.0,0.955,1219.0
32,12110942,K00786.01,Kepler-680 b,CONFIRMED,3.689920099,2.6557,426.7,1.89,5880.0,0.917,1147.0
33,12366084,K00787.01,Kepler-232 b,CONFIRMED,4.431238488,3.15,1010.9,3.25,5714.0,1.015,1104.0
34,12366084,K00787.02,Kepler-232 c,CONFIRMED,11.37936986,2.6255,1023.5,3.95,5714.0,1.015,806.0
35,12404086,K00788.01,Kepler-681 b,CONFIRMED,26.39432897,3.573,1510.9,3.07,5129.0,0.763,489.0
36,8395660,K00116.01,Kepler-106 c,CONFIRMED,13.57078281,3.3539,511.7,2.64,5854.0,1.012,785.0
37,9579641,K00115.02,Kepler-105 c,CONFIRMED,7.12594387,3.0014,192.4,1.79,5779.0,1.087,997.0
38,11754553,K00775.01,Kepler-52 c,CONFIRMED,16.38489988,3.0249,1127.1,2.0,4126.0,0.615,433.0
39,11754553,K00775.02,Kepler-52 b,CONFIRMED,7.8774163,2.0805,1306.1,2.16,4126.0,0.615,553.0
40,11754553,K00775.03,Kepler-52 d,CONFIRMED,36.4454001,4.007,1122.3,1.99,4126.0,0.615,332.0
41,11812062,K00776.01,Kepler-673 b,CONFIRMED,3.728732147,2.683,5226.5,6.02,5497.0,0.809,1023.0
42,11853255,K00778.01,Kepler-674 b,CONFIRMED,2.243380573,1.1196,821.7,1.99,4149.0,0.564,822.0
43,11918099,K00780.01,Kepler-675 b,CONFIRMED,2.337437946,1.9982,971.2,2.34,5005.0,0.765,1070.0
44,11923270,K00781.01,Kepler-676 b,CONFIRMED,11.59822233,2.5237,2804.5,2.65,3688.0,0.473,396.0
45,11960862,K00782.01,Kepler-677 b,CONFIRMED,6.575315881,4.3084,2793.3,5.31,5992.0,0.989,1015.0
46,12020329,K00783.01,Kepler-678 b,CONFIRMED,7.275040844,7.5377,3001.0,4.86,5485.0,0.867,833.0
47,12066335,K00784.01,Kepler-231 c,CONFIRMED,19.27153892,2.7594,1219.8,1.93,4077.0,0.56,393.0
48,12066335,K00784.02,Kepler-231 b,CONFIRMED,10.06524317,1.369,1053.3,1.91,4077.0,0.56,488.0
49,12070811,K00785.01,Kepler-679 b,CONFIRMED,12.3935651,3.8896,916.6,2.66,5557.0,0.75,677.0
50,8395660,K00116.02,Kepler-106 e,CONFIRMED,43.84439721,6.802,615.2,2.87,5854.0,1.012,531.0
51,3342970,K00800.01,Kepler-234 b,CONFIRMED,2.711504086,3.0099,837.5,3.12,6214.0,1.076,1420.0
52,3342970,K00800.02,Kepler-234 c,CONFIRMED,7.21203748,4.0491,950.4,3.32,6214.0,1.076,1025.0
53,12470844,K00790.01,Kepler-233 b,CONFIRMED,8.47237911,2.7245,1123.5,2.59,5354.0,0.788,751.0
54,12470844,K00790.02,Kepler-233 c,CONFIRMED,60.4189369,5.039,931.3,2.36,5354.0,0.788,390.0
55,12644822,K00791.01,Kepler-682 b,CONFIRMED,12.611904345,5.1497,6105.6,7.4,5795.0,0.919,753.0
56,2713049,K00794.01,Kepler-683 b,CONFIRMED,2.539183147,2.4282,382.1,2.06,5519.0,1.062,1332.0
57,3114167,K00795.01,Kepler-684 b,CONFIRMED,6.770300385,2.0844,1304.0,2.77,5653.0,0.679,812.0
58,4139816,K00812.02,Kepler-235 d,CONFIRMED,20.06036336,3.3203,1494.7,1.96,3950.0,0.493,361.0
59,4139816,K00812.03,Kepler-235 e,CONFIRMED,46.1842039,4.758,1394.7,1.83,3950.0,0.493,273.0
60,8395660,K00116.04,Kepler-106 d,CONFIRMED,23.9800854,5.351,104.0,1.31,5854.0,1.012,649.0
61,4139816,K00812.04,Kepler-235 c,CONFIRMED,7.82502168,2.186,520.8,1.2,3950.0,0.493,494.0
62,4275191,K00813.01,Kepler-688 b,CONFIRMED,3.895936525,2.3111,8544.8,7.34,5557.0,0.774,1005.0
63,4476123,K00814.01,Kepler-689 b,CONFIRMED,22.36646466,5.228,986.8,2.32,5395.0,0.734,536.0
64,3351888,K00801.01,Kepler-685 b,CONFIRMED,1.625522174,2.38963,7969.0,9.73,5539.0,1.106,1579.0
65,3641726,K00804.01,Kepler-1727 b,CONFIRMED,9.02930689,3.1449,1019.8,2.57,5349.0,0.82,757.0
66,3832474,K00806.01,Kepler-30 d,CONFIRMED,143.2063047,8.9302,10565.7,8.9,5485.0,0.867,308.0
67,8395660,K00116.03,Kepler-106 b,CONFIRMED,6.164876,3.262,55.8,0.79,5854.0,1.012,1021.0
68,3832474,K00806.02,Kepler-30 c,CONFIRMED,60.32494216,6.6188,20280.4,12.19,5485.0,0.867,411.0
69,3832474,K00806.03,Kepler-30 b,CONFIRMED,29.1598615,4.803,488.0,1.91,5485.0,0.867,524.0
